title,press,date,summary,url
오늘의 운세-띠별(4월7일),광주매일신문,2025-04-07,"행운의 수: 1,6 행운의 색: 연두색 원숭이띠: 멀리 있는 것은 잊어버리고 가까운 거리에 있는 것부터 챙기자. 44년생 좋은 시간을 만드는 것은 내 마음에... 행운의 수: 0,7 행운의 색: 연두색 <제공=천문역원> -4월 7일 별자리운세- 물병자리 전반적인 운세: 상황이 흘러가는 대로 맡기면 좋은 일이 찾아올 가능성이...",http://www.kjdaily.com/article.php?aid=1743951601653813227
연두색 번호판의 기습…S클래스 독주 끝? [데이터로 보는 세상],매경이코노미,2025-04-05,"고가 법인차 번호판이 연두색으로 바뀌면서 S클래스 판매량이 감소하기 시작했다. 2024년 두 차종의 격차는 급격히 줄었고, 올해 들어서는 7시리즈... 카이즈유데이터연구소 관계자는 “S클래스 구매자들이 연두색 번호판에 더 민감한 것으로 풀이된다. 차량 교체 주기가 도래해도 신형으로...",https://www.mk.co.kr/article/11276278
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',뉴시스언론사 선정,2025-04-08,"지난해부터 시행한 '연두색 번호판' 제도로 고급 수입 법인차 판매량이 급감했지만, 올해 다시 반등 조짐을 보이고 있다. 24일 한국수입자동차협회... 지난해 초부터 정부는 법인 차량의 사적 사용을 막기 위해 취득가액 8000만원 이상 차량엔 의무적으로 연두색 번호판을 붙이는 정책을 시행했다....",https://www.newsis.com/view/NISX20250324_0003110599
[홍사라의 풍류가도] 너의 겨울 투쟁기,문화저널21,2025-04-03,"나는 헷갈리는데 어떻게 봄이 오는걸 아는 것인지, 겨울 동안 손톱만큼도 자라지 않던 나무들이 그 끝에 연한 연두색 잎을 올리기 시작한다. 일 년 중 이때만 볼 수 있는 여리고 여린 연두색. 어제 동생과 산책을 하는데 구름나무(나는 사철나무를 그렇게 부른다.) 끝마다 올라온 새잎들을 보면서 “나는 이 색이...",http://www.mhj21.com/165839
[더벨][thebell note]성래은 영원무역 부회장의 소통법,더벨,2025-04-08,단정한 정장차림에 편안해 보이는 연두색 운동화를 신고 조심스럽게 주주총회장에 입장하는 모습이 기억에 남는다. 오너 2세 대표이사 하면 떠오르는 화려한 겉모습이나 과시적 태도는 보이지 않았다. 가장 인상 깊었던 건 그가 보여준 주주총회에서의 소통법이다. 주주와 경영진의 적극적인 소통의 장이라는...,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202504041445437800102556
"번호판도 싫고, 살 차도 없고… 고가 수입차 '내리막'",데일리안언론사 선정,2025-04-08,"그간 법인 구매가 절반 이상을 차지해왔지만, 사적 남용을 막기 위해 도입된 연두색 번호판의 효과가 나타나고 있는 것으로 보인다. 또 법인... 예외 없이 상승 곡선을 그리던 판매량이 20% 이상 급감한 데에는 '연두색 번호판'이 대표적인 원인으로 꼽힌다. 연두색 번호판은 정부가 법인 차량의...",https://www.dailian.co.kr/news/view/1477573/?sc=Naver
"[르포]'쿠팡표 럭셔리'란 이런 것…알럭스, 예술과 만나다",비즈워치언론사 선정,2025-04-03,"흰색, 분홍색, 연두색, 노란색과 같은 밝은 원색으로 된 점과 선으로 농원의 풍경을 담은 폭 5m의 거대한 작품이다. 작품 속에 흐드러지게 핀 배꽃을 바라보고 있으면 어디선가 달콤한 향기가 날 것만 같은 착각이 든다. 만약 그림을 감상하면서 향까지 느낄 수 있는 감각적인 전시가 있다면 어떨까? 쿠팡의...",http://news.bizwatch.co.kr/article/consumer/2025/04/03/0038
"""정체된 S클래스""···벤츠, 더 위 노린다",시사저널이코노미,2025-04-01,업계에선 연두색 번호판 적용 이후 S클래스 판매량이 떨어졌다는 분석도 나온다. 통상적으로 BMW보다는 벤츠 법인차 비중이 높았으며 이는 S클래스와 7시리즈에서 비슷한 양상을 보인다. 카이즈유 데이터연구소에 따르면 연두색 번호판 적용 전 S클래스 법인차 비중은 80.2%였으나 정책 시행 후 72%로 약...,https://www.sisajournal-e.com/news/articleView.html?idxno=410659
연두색 번호판 기피 현상 감소? 올해 들어 고급 수입차 판매 늘어,월요신문,2025-04-08,"사진=뉴시스 ［월요신문=전지환 기자］지난해부터 시행한 '연두색 번호판' 제도로 인해 한때 고급 수입 법인차 판매량이 감소했으나, 올해 다시... 앞서 정부는 지난해 초부터 법인 차량의 사적 사용을 방지하기 위해 취득가액 8000만원 이상의 자동차에 의무적으로 연두색 번호판을 붙이는 정책을...",http://www.wolyo.co.kr/news/articleView.html?idxno=257386
[고화순의 나물이야기] 봄에 어린잎 먹는 특별한 금주머니 나물 - 금낭화,전국매일신문,2025-04-06,흰색 금낭화는 줄기가 연두색·녹색이 특징으로 중국에서 온 귀화식물로 알려져 있다. 세계적으로는 아시아와 북아메리카에 분포한다. 금낭화(錦囊花)는... 연두색의 부드럽고 촉촉한 실바람이 불어온다. 바람결에 금낭화가 까르르 웃으며 찰랑찰랑 날아드니 마음이 여유로워진다. [전국매일신문 칼럼] 고화순...,https://www.jeonmae.co.kr/news/articleView.html?idxno=1135163
